URL,Pavadinimas,Aprašymas,Telefonas,Svetainė,El. paštas,Adresas
https://www.trustedshops.de/bewertung/info_X9F527A6DD4CA670E131C17B6F31F36FF.html,pattydoo,Nähen lernen leicht gemacht. Mit pattydoo Videoanleitungen und anfängerfreundlichen Schnittmustern kann sich jeder sein neues Lieblingsteil ganz einfach selber nähen.,+493054884053,http://www.pattydoo.de,service@pattydoo.de,pattydoo GmbH Dernburgstr. 59 14057 Berlin Deutschland
https://www.trustedshops.de/bewertung/info_XB2A3F68358A7C710D0BDB80A9552BC77.html,bike-discount.de,"Der Onlineshop für Fahrräder, Fahrradteile und Zubehör - von Beleuchtung bis Zentrierständer - schnell und zuverlässig",+49264189000,http://www.bike-discount.de,info@bike-discount.de,H&S Bike-Discount GmbH Konrad-Zuse-Straße 20 53501 Grafschaft Deutschland
https://www.trustedshops.de/bewertung/info_X8E9EAFD7E40A46630552D4A3F123CA67.html,Bergfreunde.de,"Bergfreunde.de ist der Ausrüster für Outdoorsport wie Klettern, Eisklettern, Wandern, Bouldern oder Yoga: Bekleidung, Schlafsäcke, Rucksäcke, Zelte, Klettergurte, Seile, Crashpads, Eispickel, Schneeschuhe, Gaskocher und vieles mehr.",+49712170120,http://www.bergfreunde.de,info@bergfreunde.de,Bergfreunde GmbH Bahnhofstraße 26 72138 Kirchentellinsfurt Deutschland
https://www.trustedshops.de/bewertung/info_X29445B88B7DA1AAF7BE7844E8D9C867D.html,globetrotter.de,"Wir rüsten dich für dein Outdoor Abenteuer und das Leben im Freien perfekt aus! Über 1.000 Marken. Schnelle Lieferung. 36 Monate Garantie. Marken: Fjällräven, Arc'teryx, Frilufts, Hanwag, Primus, Tierra, Royal Robbins, Patagonia.",+494067966179,http://www.globetrotter.de,info@globetrotter.de,Globetrotter Ausrüstung GmbH Fuhlsbütteler Straße 29 22305 Hamburg Deutschland
https://www.trustedshops.de/bewertung/info_XFBEA109BDA1C60C630331A1D44E0A898.html,de.erwinmueller.com,"Tradition gepaart mit Innovation begründen den Erfolg von Erwin Müller und der Leitspruch - die Liebe liegt im Detail - macht Erwin Müller leistungsstark in Qualität und Service. Erwinmüller.de bietet Bettwäsche, Betten, Kissen, Tischdecken, Badtextilien und vieles mehr.",Telefonas nerastas,http://de.erwinmueller.com,service@erwinmueller.de,Erwin Müller Versandhaus GmbH Buttstr. 2 86647 Buttenwiesen Deutschland
https://www.trustedshops.de/bewertung/info_X3B8F18F9DD37D1EF61CFE1EDA728F77A.html,elamo.me,"Wir sind ein familiengeführtes Startup aus Hamburg und entwickeln smarte Begleiter für den Weg zur Arbeit, in die Uni, zur Schule, in den Urlaub, zum Sport oder zu Freunden. Wir nutzen unsere Produkte selbst jeden Tag und entwickeln sie ständig weiter. Es geht um mehr als von A nach B zu kommen. Der Weg ist unser Ziel.",Telefonas nerastas,http://elamo.me,hello@elamo.me,Neu.land GmbH Bei der Rolandsmuehle 9 22763 Hamburg Deutschland
https://www.trustedshops.de/bewertung/info_X1E695010BCFDF000283DB763728BE71B.html,Maschenfein,"Im Maschenfeinshop finden Sie das umfangreichste Sortiment an Strick-Kits im deutschsprachigen Raum. Zahlreiche Strickanleitungen und Wollpakete für Pullover, Strickjacken, Tücher, Schals und vieles mehr in allen Größen für Damen, Herren und Kinder machen Lust auf Stricken. Lassen Sie sich beim Stöbern durch die Seiten auf www.maschenfein.de und den schönen Blog inspirieren. Eine große und stetig wachsende Stammkundschaft tauscht sich auch in der Maschenfein Community auf Instagram und Facebook aus. Service wird bei Maschen ganz groß geschrieben, so wird hier online ausführlich beraten, damit Sie zu ihrem Traumprojekt finden, das garantiert nicht geribbelt werden muss.",+491632617146,http://www.maschenfein.de,hallo@maschenfein.de,Maschenfein GmbH Nostitzstraße 23 10961 Berlin Deutschland
https://www.trustedshops.de/bewertung/info_X8008CA776A7F614E716F7A792EC32F32.html,Blutsgeschwister Online Shop,"Für uns ist Mode ein Lebensgefühl. Wir folgen unserer Fantasie, lieben starke Farben und Muster, körperbewusste Schnitte und maximale Bewegungsfreiheit. Wir wollen etwas bewegen und setzen uns für eine zukunftsfähige Modewelt ein. Wir verstehen uns als erste fröhliche Alternative für verantwortungsvoll hergestellte und langlebige Mode.",+498002588835,http://www.blutsgeschwister.de,service@blutsgeschwister.de,Blutsgeschwister GmbH Kreuzbergstrasse 28 10965 Berlin Deutschland
https://www.trustedshops.de/bewertung/info_X41671E0192869D854D1DE5A62A3E5D0C.html,fischer-wolle.de,"Erleben Sie unseren zertifizierten Onlineshop mit über 350 Wollqualitäten in über 5.000 Farben. Zudem bieten wir Ihnen unseren einzigartigen Modellkonfigurator, mit dem Sie sich aus über 4.000 Modellvorschlägen schnell und einfach Ihr Lieblingsmodell zusammenstellen können. Besuchen Sie auch unseren Ladenverkauf in Babenhausen (Bayern) und erleben Sie auf einer Fläche von 850 qm Deutschlands größten Handarbeitsmarkt. Unser geschultes Fachpersonal freut sich auf Ihren Besuch.",+49833330810,http://www.fischer-wolle.de,service@fischer-wolle.de,Georg Fischer GmbH Heideweg 28 87727 Babenhausen Deutschland
https://www.trustedshops.de/bewertung/info_X712DD93629DC0FC7C84E20580B66CA37.html,modeherz.de,"modeherz ist der Shop, wenn es um Taschen, Geldbörsen und Accessoires geht. Von der kleinen Abendtasche bis hin zum Tourenrucksack ist hier alles zu finden! Egal ob Alt, ob Jung, bei modeherz finden Sie stets die neusten und angesagtesten Trends, Marken und Modelle! Von TOMMY HILFIGER über, LIEBESKIND BERLIN bis hin zu GUESS und LACOSTE finden Sie hier zwischen über 100 Marken bestimmt das perfekte Herzstück!",+497129600820,http://www.modeherz.de,info@modeherz.de,modeherz GmbH Maybachstraße 7 72805 Lichtenstein Deutschland
